Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Romania,Nehoiu,52,Moderate,1,Good,40,Good,0,Good,52,Moderate
Germany,Neustadt,33,Good,0,Good,33,Good,0,Good,32,Good
United States of America,New Lenox,54,Moderate,2,Good,30,Good,11,Good,54,Moderate
,New Waterford,20,Good,1,Good,18,Good,9,Good,20,Good
United Kingdom of Great Britain and Northern Ireland,Newburn,31,Good,0,Good,31,Good,2,Good,21,Good
United Kingdom of Great Britain and Northern Ireland,Newbury,50,Good,1,Good,22,Good,7,Good,50,Good
Republic of Moldova,Nisporeni,53,Moderate,1,Good,36,Good,1,Good,53,Moderate
Japan,Nisshin,44,Good,1,Good,44,Good,1,Good,16,Good
Russian Federation,Nizhniye Sergi,37,Good,1,Good,35,Good,0,Good,37,Good
Germany,Nohfelden,54,Moderate,1,Good,30,Good,3,Good,54,Moderate
India,Khargapur,197,Unhealthy,1,Good,42,Good,0,Good,197,Unhealthy
India,Kharhial,161,Unhealthy,1,Good,32,Good,1,Good,161,Unhealthy
India,Khategaon,157,Unhealthy,1,Good,36,Good,0,Good,157,Unhealthy
India,Kheda,158,Unhealthy,1,Good,38,Good,0,Good,158,Unhealthy
Thailand,Khiri Mat,81,Moderate,0,Good,23,Good,0,Good,81,Moderate
Sudan,Kinanah,54,Moderate,1,Good,21,Good,0,Good,54,Moderate
United States of America,Kingsgate,58,Moderate,2,Good,17,Good,15,Good,58,Moderate
,Kingstown,163,Unhealthy,0,Good,25,Good,0,Good,163,Unhealthy
India,Kinwat,151,Unhealthy,1,Good,33,Good,0,Good,151,Unhealthy
India,Kishangarh,409,Hazardous,1,Good,44,Good,0,Good,356,Hazardous
Hungary,Kiskunfelegyhaza,71,Moderate,1,Good,40,Good,1,Good,71,Moderate
United States of America,Klamath Falls,40,Good,1,Good,7,Good,6,Good,40,Good
India,Kodarma,186,Unhealthy,2,Good,108,Unhealthy for Sensitive Groups,1,Good,186,Unhealthy
Pakistan,Kohat,101,Unhealthy for Sensitive Groups,1,Good,62,Moderate,0,Good,101,Unhealthy for Sensitive Groups
South Africa,Koppies,191,Unhealthy,7,Good,9,Good,18,Good,191,Unhealthy
China,Korla,160,Unhealthy,1,Good,45,Good,0,Good,160,Unhealthy
Russian Federation,Kormilovka,38,Good,1,Good,38,Good,0,Good,15,Good
Ukraine,Korostyshiv,89,Moderate,1,Good,39,Good,0,Good,89,Moderate
Guinea,Kouroussa,56,Moderate,1,Good,13,Good,0,Good,56,Moderate
Bulgaria,Kozloduj,51,Moderate,1,Good,35,Good,2,Good,51,Moderate
United States of America,Littleton,74,Moderate,1,Good,8,Good,13,Good,74,Moderate
Italy,Lizzano,48,Good,1,Good,48,Good,3,Good,36,Good
Bolivia (Plurinational State of),Llallagua,12,Good,0,Good,12,Good,0,Good,11,Good
United States of America,Lochearn,42,Good,1,Good,28,Good,10,Good,42,Good
India,Lohardaga,185,Unhealthy,1,Good,55,Moderate,0,Good,185,Unhealthy
Finland,Lohja,27,Good,1,Good,27,Good,4,Good,19,Good
Myanmar,Loikaw,15,Good,0,Good,15,Good,0,Good,10,Good
Italy,Lonate Pozzolo,82,Moderate,1,Good,42,Good,2,Good,82,Moderate
Russian Federation,Lopatinskiy,33,Good,1,Good,33,Good,2,Good,24,Good
Chile,Lota,67,Moderate,2,Good,10,Good,8,Good,67,Moderate
Angola,Lubango,40,Good,1,Good,14,Good,0,Good,40,Good
Germany,Lubeck,33,Good,0,Good,33,Good,1,Good,32,Good
Democratic Republic of the Congo,Luebo,90,Moderate,4,Good,20,Good,0,Good,90,Moderate
India,Lumding,43,Good,2,Good,21,Good,0,Good,43,Good
Belgium,Maasmechelen,44,Good,1,Good,24,Good,4,Good,44,Good
Colombia,Magangue,35,Good,1,Good,15,Good,1,Good,35,Good
India,Mahendragarh,500,Hazardous,1,Good,42,Good,0,Good,435,Hazardous
India,Mahesana,170,Unhealthy,0,Good,33,Good,0,Good,170,Unhealthy
Turkey,Malatya,55,Moderate,1,Good,29,Good,0,Good,55,Moderate
Turkey,Malazgirt,47,Good,1,Good,36,Good,0,Good,47,Good
Philippines,Manay,25,Good,0,Good,15,Good,0,Good,25,Good
India,Mandvi,150,Unhealthy,0,Good,27,Good,0,Good,150,Unhealthy
Philippines,Manibaug,65,Moderate,1,Good,22,Good,1,Good,65,Moderate
India,Manohar Thana,168,Unhealthy,1,Good,42,Good,0,Good,168,Unhealthy
Kingdom of Eswatini,Manzini,75,Moderate,3,Good,15,Good,1,Good,75,Moderate
Ukraine,Krasnodon,37,Good,1,Good,37,Good,0,Good,13,Good
Afghanistan,Kuhestan,151,Unhealthy,1,Good,41,Good,0,Good,151,Unhealthy
India,Kunigal,50,Good,0,Good,21,Good,0,Good,50,Good
Switzerland,Kusnacht,112,Unhealthy for Sensitive Groups,1,Good,27,Good,3,Good,112,Unhealthy for Sensitive Groups
Peru,La Arena,49,Good,0,Good,23,Good,0,Good,49,Good
Spain,La Carolina,34,Good,1,Good,17,Good,3,Good,34,Good
Spain,La Garriga,49,Good,1,Good,30,Good,5,Good,49,Good
Mexico,La Joya,109,Unhealthy for Sensitive Groups,3,Good,5,Good,9,Good,109,Unhealthy for Sensitive Groups
Spain,La Llagosta,53,Moderate,1,Good,26,Good,7,Good,53,Moderate
United States of America,Lady Lake,72,Moderate,1,Good,7,Good,14,Good,72,Moderate
Malaysia,Lahad Datu,48,Good,1,Good,15,Good,0,Good,48,Good
India,Lakhimpur,190,Unhealthy,4,Good,190,Unhealthy,1,Good,164,Unhealthy
India,Lalgudi,54,Moderate,0,Good,27,Good,0,Good,54,Moderate
Indonesia,Lamongan,167,Unhealthy,3,Good,123,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
Belgium,Lanaken,43,Good,1,Good,25,Good,4,Good,43,Good
France,Lannion,41,Good,1,Good,26,Good,4,Good,41,Good
Italy,Lanuvio,40,Good,1,Good,40,Good,2,Good,20,Good
Mexico,Las Margaritas,61,Moderate,1,Good,8,Good,4,Good,61,Moderate
Italy,Lastra A Signa,35,Good,1,Good,35,Good,3,Good,17,Good
France,Le Blanc Mesnil,60,Moderate,1,Good,20,Good,6,Good,60,Moderate
France,Le Tampon,62,Moderate,1,Good,26,Good,1,Good,62,Moderate
Portugal,Leca Do Bailio,28,Good,0,Good,28,Good,2,Good,20,Good
Belgium,Lede,42,Good,1,Good,28,Good,4,Good,42,Good
Italy,Lentini,67,Moderate,1,Good,36,Good,3,Good,67,Moderate
United States of America,Leominster,30,Good,1,Good,30,Good,3,Good,22,Good
Mexico,Leon,50,Good,1,Good,14,Good,3,Good,50,Good
Bulgaria,Levski,52,Moderate,1,Good,36,Good,1,Good,52,Moderate
China,Liancheng,58,Moderate,1,Good,28,Good,2,Good,58,Moderate
United States of America,Lighthouse Point,58,Moderate,1,Good,14,Good,10,Good,58,Moderate
Malawi,Lilongwe,33,Good,0,Good,19,Good,0,Good,33,Good
Pakistan,Kanganpur,175,Unhealthy,2,Good,145,Unhealthy for Sensitive Groups,1,Good,175,Unhealthy
Nigeria,Kano,138,Unhealthy for Sensitive Groups,4,Good,25,Good,4,Good,138,Unhealthy for Sensitive Groups
India,Kapasan,162,Unhealthy,1,Good,38,Good,0,Good,162,Unhealthy
Russian Federation,Karabash,36,Good,1,Good,36,Good,0,Good,33,Good
India,Karamadai,44,Good,0,Good,23,Good,0,Good,44,Good
Indonesia,Karang Tengah,105,Unhealthy for Sensitive Groups,2,Good,59,Moderate,1,Good,105,Unhealthy for Sensitive Groups
India,Karauli,213,Very Unhealthy,1,Good,43,Good,0,Good,213,Very Unhealthy
India,Kareli,169,Unhealthy,1,Good,36,Good,0,Good,169,Unhealthy
India,Karhal,265,Very Unhealthy,2,Good,91,Moderate,1,Good,265,Very Unhealthy
United States of America,Kaukauna,49,Good,1,Good,31,Good,6,Good,49,Good
India,Kayankulam,68,Moderate,1,Good,24,Good,0,Good,68,Moderate
Uzbekistan,Kegayli,69,Moderate,1,Good,39,Good,0,Good,69,Moderate
Indonesia,Kembaran,54,Moderate,1,Good,29,Good,1,Good,54,Moderate
Finland,Kerava,23,Good,1,Good,23,Good,6,Good,18,Good
Poland,Jawor,63,Moderate,1,Good,24,Good,3,Good,63,Moderate
France,Joigny,31,Good,1,Good,31,Good,1,Good,21,Good
Sweden,Jonkoping,34,Good,0,Good,33,Good,0,Good,34,Good
Germany,Jork,34,Good,0,Good,34,Good,1,Good,31,Good
Peru,Juanjui,46,Good,1,Good,2,Good,0,Good,46,Good
Brazil,Juazeiro Do Norte,32,Good,0,Good,11,Good,2,Good,32,Good
Tunisia,Jundubah,58,Moderate,1,Good,48,Good,1,Good,58,Moderate
China,Juye,176,Unhealthy,4,Good,176,Unhealthy,5,Good,129,Unhealthy for Sensitive Groups
Zambia,Kafue,36,Good,0,Good,16,Good,0,Good,36,Good
United States of America,Mountlake Terrace,49,Good,1,Good,25,Good,11,Good,49,Good
Morocco,Mrirt,59,Moderate,2,Good,16,Good,4,Good,59,Moderate
India,Muktsar,180,Unhealthy,2,Good,151,Unhealthy,1,Good,180,Unhealthy
Ireland,Mullingar,27,Good,0,Good,27,Good,0,Good,13,Good
Pakistan,Multan,194,Unhealthy,3,Good,176,Unhealthy,2,Good,194,Unhealthy
Ghana,Mumford,74,Moderate,2,Good,17,Good,1,Good,74,Moderate
Japan,Murayama,35,Good,1,Good,35,Good,1,Good,13,Good
Spain,Murcia,29,Good,1,Good,29,Good,2,Good,20,Good
India,Musiri,54,Moderate,0,Good,25,Good,0,Good,54,Moderate
United States of America,Muskego,58,Moderate,2,Good,18,Good,21,Good,58,Moderate
India,Muvattupula,89,Moderate,1,Good,25,Good,1,Good,89,Moderate
Netherlands,Naarden,42,Good,0,Good,35,Good,1,Good,42,Good
Russian Federation,Nakhabino,36,Good,1,Good,25,Good,7,Good,36,Good
India,Naldurg,91,Moderate,0,Good,25,Good,0,Good,91,Moderate
,Nanakuli,30,Good,0,Good,27,Good,0,Good,30,Good
China,Nantong,206,Very Unhealthy,7,Good,206,Very Unhealthy,9,Good,167,Unhealthy
Hungary,Jaszbereny,67,Moderate,1,Good,38,Good,2,Good,67,Moderate
France,Jeumont,51,Moderate,1,Good,22,Good,5,Good,51,Moderate
Pakistan,Johi,162,Unhealthy,1,Good,37,Good,0,Good,162,Unhealthy
India,Kachhwa,187,Unhealthy,2,Good,106,Unhealthy for Sensitive Groups,1,Good,187,Unhealthy
India,Kalanaur,157,Unhealthy,3,Good,157,Unhealthy,1,Good,126,Unhealthy for Sensitive Groups
Pakistan,Lakhi,163,Unhealthy,1,Good,71,Moderate,1,Good,163,Unhealthy
India,Lala,87,Moderate,1,Good,36,Good,0,Good,87,Moderate
Thailand,Lang Suan,32,Good,0,Good,16,Good,0,Good,32,Good
,Lavagna,55,Moderate,1,Good,38,Good,2,Good,55,Moderate
France,Le Lamentin,85,Moderate,0,Good,25,Good,0,Good,85,Moderate
United States of America,League City,45,Good,1,Good,22,Good,5,Good,45,Good
Ukraine,Lebedyn,55,Moderate,1,Good,40,Good,1,Good,55,Moderate
United States of America,Lennox,114,Unhealthy for Sensitive Groups,3,Good,8,Good,37,Good,114,Unhealthy for Sensitive Groups
Slovakia,Levice,50,Good,1,Good,31,Good,1,Good,50,Good
New Zealand,Levin,13,Good,0,Good,13,Good,1,Good,12,Good
Brazil,Lima Duarte,88,Moderate,3,Good,7,Good,8,Good,88,Moderate
Germany,Limburg,33,Good,1,Good,33,Good,2,Good,30,Good
Sweden,Lindome,38,Good,0,Good,38,Good,1,Good,19,Good
Italy,Lissone,33,Good,1,Good,33,Good,2,Good,23,Good
United States of America,Lockhart,47,Good,1,Good,21,Good,2,Good,47,Good
Pakistan,Lodhran,500,Hazardous,1,Good,45,Good,0,Good,364,Hazardous
Germany,Lohmar,33,Good,1,Good,33,Good,2,Good,29,Good
Portugal,Lordelo,40,Good,1,Good,22,Good,4,Good,40,Good
Mexico,Los Reyes Acozac,195,Unhealthy,3,Good,5,Good,15,Good,195,Unhealthy
China,Loudi,99,Moderate,4,Good,99,Moderate,5,Good,97,Moderate
China,Luan,183,Unhealthy,4,Good,183,Unhealthy,2,Good,115,Unhealthy for Sensitive Groups
Angola,Luena,66,Moderate,1,Good,22,Good,0,Good,66,Moderate
Philippines,Lun,15,Good,0,Good,15,Good,0,Good,15,Good
Belarus,Lyuban,52,Moderate,1,Good,28,Good,1,Good,52,Moderate
Russian Federation,Lyudinovo,70,Moderate,1,Good,23,Good,2,Good,70,Moderate
Netherlands,Maassluis,38,Good,1,Good,27,Good,4,Good,38,Good
Guinea,Macenta,32,Good,1,Good,14,Good,0,Good,32,Good
United States of America,Machesney Park,72,Moderate,3,Good,0,Good,10,Good,72,Moderate
Pakistan,Mailsi,500,Hazardous,1,Good,45,Good,0,Good,386,Hazardous
Germany,Mainburg,29,Good,0,Good,28,Good,1,Good,29,Good
Indonesia,Malang,67,Moderate,1,Good,36,Good,0,Good,67,Moderate
Philippines,Malaya,57,Moderate,1,Good,25,Good,1,Good,57,Moderate
United Republic of Tanzania,Malinyi,31,Good,1,Good,11,Good,0,Good,31,Good
India,Manamadurai,60,Moderate,1,Good,37,Good,0,Good,60,Moderate
Philippines,Manapla,54,Moderate,1,Good,22,Good,0,Good,54,Moderate
Italy,Manfredonia,49,Good,1,Good,49,Good,0,Good,36,Good
India,Manmad,148,Unhealthy for Sensitive Groups,1,Good,32,Good,0,Good,148,Unhealthy for Sensitive Groups
Spain,Maracena,32,Good,1,Good,32,Good,1,Good,15,Good
Philippines,Margosatubig,17,Good,0,Good,16,Good,0,Good,17,Good
Russian Federation,Kotelnich,33,Good,1,Good,33,Good,0,Good,10,Good
Russian Federation,Krasnodar,44,Good,1,Good,44,Good,4,Good,31,Good
Russian Federation,Krasnogorsk,61,Moderate,1,Good,24,Good,10,Good,61,Moderate
Russian Federation,Krasnokamsk,25,Good,1,Good,25,Good,0,Good,19,Good
Netherlands,Krimpen,39,Good,1,Good,27,Good,5,Good,39,Good
Norway,Kristiansand,52,Moderate,0,Good,34,Good,1,Good,52,Moderate
Thailand,Kumphawapi,57,Moderate,0,Good,24,Good,0,Good,57,Moderate
Pakistan,Kunjah,191,Unhealthy,2,Good,163,Unhealthy,1,Good,191,Unhealthy
Germany,Kunzelsau,28,Good,1,Good,28,Good,2,Good,25,Good
India,Kurinjippadi,85,Moderate,2,Good,40,Good,1,Good,85,Moderate
Russian Federation,Kurtamysh,31,Good,1,Good,31,Good,0,Good,31,Good
Indonesia,Kutoarjo,58,Moderate,1,Good,28,Good,0,Good,58,Moderate
Belgium,Kuurne,38,Good,1,Good,23,Good,3,Good,38,Good
France,La Baule Escoublac,33,Good,0,Good,33,Good,0,Good,21,Good
France,La Madeleine,38,Good,1,Good,23,Good,3,Good,38,Good
Mexico,La Piedad,52,Moderate,1,Good,6,Good,5,Good,52,Moderate
,Ladispoli,48,Good,1,Good,48,Good,2,Good,34,Good
Nigeria,Lafiagi,79,Moderate,2,Good,27,Good,0,Good,79,Moderate
Portugal,Marinha Grande,40,Good,0,Good,29,Good,1,Good,40,Good
Russian Federation,Markha,36,Good,1,Good,36,Good,0,Good,24,Good
Morocco,Martil,39,Good,1,Good,39,Good,4,Good,38,Good
Iran (Islamic Republic of),Masjed E Soleyman,151,Unhealthy,1,Good,61,Moderate,0,Good,151,Unhealthy
Azerbaijan,Mastaga,70,Moderate,1,Good,38,Good,0,Good,70,Moderate
Pakistan,Mastung,102,Unhealthy for Sensitive Groups,0,Good,43,Good,0,Good,102,Unhealthy for Sensitive Groups
Indonesia,Mataram,34,Good,1,Good,25,Good,0,Good,34,Good
Egypt,Matay,110,Unhealthy for Sensitive Groups,2,Good,71,Moderate,3,Good,110,Unhealthy for Sensitive Groups
China,Matou,111,Unhealthy for Sensitive Groups,2,Good,42,Good,8,Good,111,Unhealthy for Sensitive Groups
United States of America,Matteson,77,Moderate,2,Good,10,Good,27,Good,77,Moderate
India,Mavur,66,Moderate,1,Good,25,Good,0,Good,66,Moderate
Brazil,Medeiros Neto,52,Moderate,1,Good,6,Good,1,Good,52,Moderate
Guatemala,Melchor De Mencos,55,Moderate,1,Good,12,Good,0,Good,55,Moderate
Italy,Melegnano,44,Good,1,Good,33,Good,3,Good,44,Good
Indonesia,Mertoyudan,66,Moderate,1,Good,32,Good,1,Good,66,Moderate
,Dong Hoi,55,Moderate,0,Good,26,Good,0,Good,55,Moderate
China,Dongying,110,Unhealthy for Sensitive Groups,2,Good,110,Unhealthy for Sensitive Groups,1,Good,59,Moderate
India,Doraha,467,Hazardous,1,Good,102,Unhealthy for Sensitive Groups,1,Good,400,Hazardous
Germany,Dreieich,37,Good,1,Good,37,Good,1,Good,30,Good
Indonesia,Driyorejo,157,Unhealthy,2,Good,84,Moderate,2,Good,157,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Dronfield,39,Good,0,Good,31,Good,1,Good,39,Good
India,Dumjor,179,Unhealthy,3,Good,102,Unhealthy for Sensitive Groups,4,Good,179,Unhealthy
Hungary,Dunaharaszti,51,Moderate,1,Good,27,Good,2,Good,51,Moderate
Hungary,Dunaujvaros,52,Moderate,1,Good,27,Good,2,Good,52,Moderate
United Kingdom of Great Britain and Northern Ireland,East Grinstead,36,Good,0,Good,27,Good,3,Good,36,Good
United Kingdom of Great Britain and Northern Ireland,Ebbw Vale,50,Good,0,Good,29,Good,1,Good,50,Good
United States of America,Ecorse,51,Moderate,1,Good,28,Good,9,Good,51,Moderate
Ecuador,El Carmen,79,Moderate,3,Good,5,Good,9,Good,79,Moderate
Venezuela (Bolivarian Republic of),El Hatillo,48,Good,1,Good,18,Good,5,Good,48,Good
Spain,El Prat De Llobregat,57,Moderate,1,Good,30,Good,6,Good,57,Moderate
